index,date,open,high,low,close,volume,returns,log_returns,volatility,ma_20,ma_50,rsi,sentiment_score,regime
95,2024-12-27,95791.6,97544.58,93500.01,94299.03,26501.26429,-0.01558142885179914,-0.01570409519397809,0.026057017559976834,99331.19200000001,95402.62739999998,36.47253278007544,-1,Bull
96,2024-12-28,94299.03,95733.99,94135.66,95300.0,8385.8929,0.01061484937862045,0.010558907393903796,0.025993569559490358,99040.71250000001,95778.43179999999,38.80467598683489,1,Bull
97,2024-12-29,95300.0,95340.0,93009.52,93738.2,13576.00578,-0.01638824763903468,-0.016524020398176582,0.02483999276564682,98863.799,96119.64660000001,29.254312754224756,-1,Bull
98,2024-12-30,93738.19,95024.5,91530.45,92792.05,27619.4225,-0.010093537106537043,-0.010144822242994745,0.024883666415346124,98673.7515,96368.0874,23.679585812786485,-1,Bull
99,2024-12-31,92792.05,96250.0,92033.73,93576.0,19612.03389,0.008448460832582105,0.008412972329420844,0.022375759588300993,98296.3015,96466.6476,25.76755046119409,1,Bull
100,2025-01-01,93576.0,95151.15,92888.0,94591.79,10373.32613,0.010855240659998211,0.010796745473918477,0.02253809391847065,98025.6765,96599.44319999998,36.63570042663115,1,Bull
101,2025-01-02,94591.78,97839.5,94392.0,96984.79,21970.48948,0.025298178626284695,0.02498347626229524,0.02309178046562499,97803.7035,96731.635,48.84474990446974,1,Bull
102,2025-01-03,96984.79,98976.91,96100.01,98174.18,15253.82936,0.012263675572221189,0.012189085912690157,0.023313890042116293,97641.4125,96948.60680000001,50.857785436862464,1,Bull
103,2025-01-04,98174.17,98778.43,97514.79,98220.5,8990.05651,0.0004718144831972193,0.00047170321374159335,0.02214298994739497,97329.238,97092.3754,52.207942419574444,1,Bull
104,2025-01-05,98220.51,98836.85,97276.79,98363.61,8095.63723,0.0014570278098766654,0.001455967374787927,0.021757949924148645,96944.4855,97247.9092,58.333359560805235,1,Bear
105,2025-01-06,98363.61,102480.0,97920.0,102235.6,25263.43375,0.039364049367443865,0.03860903512357024,0.023729361057672847,96749.5785,97495.50140000001,66.24779010541656,1,Bear
106,2025-01-07,102235.6,102724.38,96181.81,96954.61,32059.87537,-0.05165509861535522,-0.05303702286757633,0.02319467546797991,96587.1085,97625.31199999999,46.458834523757716,-1,Bear
107,2025-01-08,96954.6,97268.65,92500.9,95060.61,33704.67894,-0.01953491432743626,-0.019728242676769096,0.02278548529780979,96467.046,97680.3084,41.35128511606012,-1,Bear
108,2025-01-09,95060.61,95382.32,91203.67,92552.49,34544.83685,-0.026384429891623817,-0.026738745131460816,0.023447259726011502,96204.3985,97645.62700000001,43.2876950781556,-1,Bear
